Név,Dátum,Nyitó ár,Maximum ár,Minimum ár,Utolsó ár
BUX,2013.03.08.,19190.81,19282.81,19040.07,19114.73
BUX,2013.03.11.,19059.82,19114.03,18749.94,18879.34
BUX,2013.03.12.,18861.56,18919.98,18600.84,18680.93
BUX,2013.03.13.,18584.65,18603.66,18345.89,18471.81
BUX,2013.03.14.,18556.57,18664.48,18354.98,18354.98
BUX,2013.03.18.,18189.65,18404.7,18038.86,18152.07
BUX,2013.03.19.,18243.56,18266.39,18005.67,18005.67
BUX,2013.03.20.,18075.49,18400.1,18075.49,18311.05
BUX,2013.03.21.,18404.96,18425.89,18240.23,18249.83
BUX,2013.03.22.,18156.93,18198.33,17900.27,17999.08
BUX,2013.03.25.,18154.67,18344.27,17892.22,17892.65
BUX,2013.03.26.,18078.05,18160.0,17951.37,18030.59
BUX,2013.03.27.,18025.77,18120.48,17843.46,17908.99
BUX,2013.03.28.,17909.4,17929.28,17693.75,17857.42
BUX,2013.04.02.,17982.16,18097.79,17853.31,18097.79
BUX,2013.04.03.,18138.65,18141.19,17744.88,17930.84
BUX,2013.04.04.,17963.32,18171.82,17824.62,18073.06
BUX,2013.04.05.,18113.23,18136.13,17892.34,18056.23
BUX,2013.04.08.,18071.21,18176.93,18032.66,18048.51
BUX,2013.04.09.,18091.87,18285.94,18034.32,18285.94
BUX,2013.04.10.,18301.71,18405.91,18267.75,18267.75
BUX,2013.04.11.,18277.96,18411.96,18268.99,18411.96
BUX,2013.04.12.,18336.7,18408.65,18175.92,18219.96
BUX,2013.04.15.,18191.27,18203.59,17846.75,17909.12
BUX,2013.04.16.,17968.3,18068.46,17920.27,18059.6
BUX,2013.04.17.,18122.19,18170.81,17973.95,18062.89
BUX,2013.04.18.,18064.73,18130.51,17930.36,17969.97
BUX,2013.04.19.,17996.21,18128.36,17930.32,18128.36
BUX,2013.04.22.,18190.32,18194.67,17872.89,17872.89
BUX,2013.04.23.,17883.5,17946.86,17762.11,17815.69
BUX,2013.04.24.,17880.26,18011.59,17845.49,17880.56
BUX,2013.04.25.,17860.71,17962.24,17815.19,17907.59
BUX,2013.04.26.,17955.27,17971.34,17814.33,17860.85
BUX,2013.04.29.,17936.29,17968.68,17851.86,17924.08
BUX,2013.04.30.,17951.54,18286.07,17951.54,18286.07
BUX,2013.05.02.,18230.91,18363.68,18153.27,18241.61
BUX,2013.05.03.,18257.07,18387.66,18254.85,18318.68
BUX,2013.05.06.,18332.49,18408.89,18274.86,18378.3
BUX,2013.05.07.,18358.98,18556.96,18348.76,18499.1
BUX,2013.05.08.,18562.17,18576.0,18458.42,18458.42
BUX,2013.05.09.,18522.63,18585.18,18366.13,18523.59
BUX,2013.05.10.,18471.47,18529.06,18285.11,18503.07
BUX,2013.05.13.,18531.25,18691.3,18460.46,18680.1
BUX,2013.05.14.,18636.73,18716.41,18495.1,18704.01
BUX,2013.05.15.,18739.94,18810.98,18549.77,18612.93
BUX,2013.05.16.,18651.77,18782.95,18581.67,18773.44
BUX,2013.05.17.,18718.25,18829.47,18702.01,18779.57
BUX,2013.05.21.,18855.9,18855.9,18660.13,18756.4
BUX,2013.05.22.,18765.55,19170.11,18746.44,19076.4
BUX,2013.05.23.,18791.13,19137.21,18772.69,18987.22
BUX,2013.05.24.,19058.66,19250.55,19058.66,19183.32
BUX,2013.05.27.,19245.59,19307.49,19224.35,19271.64
BUX,2013.05.28.,19360.03,19624.01,19359.67,19481.47
BUX,2013.05.29.,19519.16,19519.16,19318.32,19393.47
BUX,2013.05.30.,19367.81,19410.21,19266.13,19346.05
BUX,2013.05.31.,19352.58,19352.58,19117.77,19262.77
BUX,2013.06.03.,19227.86,19265.1,19056.52,19056.52
BUX,2013.06.04.,19147.26,19210.61,19031.62,19130.96
BUX,2013.06.05.,19130.97,19259.03,19055.64,19138.82
BUX,2013.06.06.,19119.46,19234.22,19069.66,19203.7
BUX,2013.06.07.,19265.17,19706.75,19242.26,19632.63
